Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
 	Ronny Ernst	m.0345h	Germany	people.person.nationality
 	Fabian Orthmann	m.0345h	Germany	people.person.nationality
 	JosÃ© MoratÃ³n	m.06mkj	Spain	people.person.nationality
 	Goran Trobok	m.077qn	Serbia	people.person.nationality
 	Pietro Conte	m.0345h	Germany	people.person.nationality
 	Charles Imboula	m.035dk	Ghana	people.person.nationality
 	Tom van Imschoot	m.0154j	Belgium	people.person.nationality
 	Jocivalter	m.015fr	Brazil	people.person.nationality
 	Adnan Akyuz	m.0345h	Germany	people.person.nationality
 	Sedat Debreli	m.01znc_	Turkey	people.person.nationality
 	Pavel Drsek	m.01mjq	Czech Republic	people.person.nationality
 	Roman Jahn	m.0h7x	Austria	people.person.nationality
 	Ã“scar LÃ³pez	m.06mkj	Spain	people.person.nationality
 	Ercan YÃ¶rÃ¼k	m.01znc_	Turkey	people.person.nationality
 	Massimo Maccarone	m.03rjj	Italy	people.person.nationality
 	Marco Ballotta	m.03rjj	Italy	people.person.nationality
 	Zaza Zamtaradze	m.0d0kn	Georgia	people.person.nationality
 	Steven Graham	m.02jx1	England	people.person.nationality
 	Mark Delaney	m.0j5g9	Wales	people.person.nationality
 	FÃ¡bio Silva	m.05r4w	Portugal	people.person.nationality
 	Thomas Metzner	m.0345h	Germany	people.person.nationality
 	Boyko Velichkov	m.015qh	Bulgaria	people.person.nationality
 	Behram ZÃ¼laloglu	m.01znc_	Turkey	people.person.nationality
 	Ã–zcan Atasoy	m.01znc_	Turkey	people.person.nationality
 	Curtis Woodhouse	m.02jx1	England	people.person.nationality
 	Kenny Miller	m.06q1r	Scotland	people.person.nationality
 	Craig Westcarr	m.02jx1	England	people.person.nationality
 	Pap Magep Kebe	m.06srk	Senegal	people.person.nationality
 	JÃ¶rg-Uwe KlÃ¼tz	m.0345h	Germany	people.person.nationality
 	SÃ¡vio	m.015fr	Brazil	people.person.nationality
 	Gustavo Semino	m.0jgd	Argentina	people.person.nationality
 	Craig Mudd	m.02jx1	England	people.person.nationality
 	Peter Perchtold	m.0345h	Germany	people.person.nationality
 	Adrian Mutu	m.06c1y	Romania	people.person.nationality
 	Alaattin Tosun	m.01znc_	Turkey	people.person.nationality
 	Larry Ransom	m.0345h	Germany	people.person.nationality
 	Dani Fragoso	m.06mkj	Spain	people.person.nationality
 	Torsten SchÃ¶nsee	m.0345h	Germany	people.person.nationality
