Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
m.09v3gl2	Gariece McPherson	m.03_r3	Jamaica	people.person.nationality
m.0g5s_7s	Ranko Borozan	m.0166b	Bosnia and Herzegovina	people.person.nationality
m.04f251w	Petro Slobodyan	m.07t21	Ukraine	people.person.nationality
m.0h528k2	Benjamin	m.0j4b	Angola	people.person.nationality
m.05zsgrx	Paul Walker	m.02jx1	England	people.person.nationality
m.04y8l8q	Ján Hucko	m.06npd	Slovakia	people.person.nationality
m.076z0yz	Henrique	m.015fr	Brazil	people.person.nationality
m.0bhbzfw	Joao Carlos	m.05r4w	Portugal	people.person.nationality
m.04crxf2	Andy Matthew	m.06q1r	Scotland	people.person.nationality
m.04f4r23	Mykola Fedorenko	m.07t21	Ukraine	people.person.nationality
m.0b6mzhc	Ruben Van Wyk	m.05bmq	Namibia	people.person.nationality
m.04y91g_	Ramón Muttis	m.0jgd	Argentina	people.person.nationality
m.09gc9bz	Callum Morris	m.06q1r	Scotland	people.person.nationality
m.09k607w	Rubén Óscar Valdez	m.06mkj	Spain	people.person.nationality
m.09ggbjp	Dimitar Milanov	m.015qh	Bulgaria	people.person.nationality
m.02qt95_	Eugene Davis	m.03rt9	Ireland	people.person.nationality
m.07k85jt	Leszek Lipka	m.05qhw	Poland	people.person.nationality
m.080ldvt	Lajoš Jakovetić	m.077qn	Serbia	people.person.nationality
m.0gjc_zh	Frank Olafsen	m.05b4w	Norway	people.person.nationality
m.0b6p6wt	Bobby Kirk	m.06q1r	Scotland	people.person.nationality
m.0gj992p	Bob Maertens	m.0154j	Belgium	people.person.nationality
m.0jkzy89	Leopold Grausam	m.0h7x	Austria	people.person.nationality
m.0crf8w4	John Grant	m.06q1r	Scotland	people.person.nationality
m.07sb7kw	Gordon Smith	m.06q1r	Scotland	people.person.nationality
m.0g9xggv	José Ramos	m.02k8k	El Salvador	people.person.nationality
m.047g97q	Tomislav Kaloperović	m.077qn	Serbia	people.person.nationality
m.0nb8978	Karl Bortoli	m.0h7x	Austria	people.person.nationality
m.05q475_	Emmanuel Gómez	m.0d060g	Canada	people.person.nationality
m.06w1ylw	Ronnie McFall	m.05bcl	Northern Ireland	people.person.nationality
m.03hjhfl	Bruno Nobili	m.03rjj	Italy	people.person.nationality
m.05f5byl	Pruden	m.0154j	Belgium	people.person.nationality
m.026zd9j	Nando	m.06mzp	Switzerland	people.person.nationality
m.04f5c99	Oleksandr Berezhnoy	m.07t21	Ukraine	people.person.nationality
m.06651_	Alex Dawson	m.06q1r	Scotland	people.person.nationality
m.02z9hn7	James Thomson	m.06q1r	Scotland	people.person.nationality
m.0glpwfl	Harry Williams	m.02jx1	England	people.person.nationality
m.0h7pcrh	Ion Barbu	m.06c1y	Romania	people.person.nationality
m.0pcthfg	Branco	m.09c7w0	United States of America	people.person.nationality
m.03m6pln	Eliphas Shivute	m.05bmq	Namibia	people.person.nationality
m.07k62wc	Jorge Gómez	m.06mkj	Spain	people.person.nationality
m.0ngscjn	Bruno	m.05r4w	Portugal	people.person.nationality
m.0gjd8h4	Jake Eyre	m.0j5g9	Wales	people.person.nationality
m.0gvqv_k	Sasho Angelov	m.015qh	Bulgaria	people.person.nationality
m.04gjv60	Martin Harvey	m.05bcl	Northern Ireland	people.person.nationality
m.02z8m_g	Suad Lici	m.056vv	Montenegro	people.person.nationality
